Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,NA,16.67028,17.4651,15.93098,15.57213,14.57956,14.28965,13.32594,13.05296,12.77761,12.85882,12.33635,13.53597,13.28802,13.19014,12.28826,12.02524,NA,NA,NA
Luxembourg,NA,9.30109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28171,NA,9.5505,9.43721,NA,NA,NA,NA
Madagascar,15.89051,17.68247,17.93676,15.76314,12.96077,18.03304,15.32419,18.04455,16.25814,22.58583,NA,19.7797,20.3258,13.98938,18.96677,16.96291,19.83818,NA,19.81822,NA
Malawi,NA,NA,NA,16.55257,NA,NA,NA,NA,NA,NA,12.51796,15.09788,NA,20.4242,16.33403,21.55158,17.10361,14.34011,15.7802,NA
Malaysia,21.39068,24.34852,25.9036,24.54244,21.01292,NA,16.74557,16.12466,14.03864,18.46463,18.40623,20.97702,19.85116,19.45431,19.80056,19.81079,20.93572,21.67765,19.73864,NA
Maldives,NA,NA,21.2399,20.3462,19.47924,13.01498,13.34758,12.74641,12.61971,15.63228,12.46061,11.7121,12.83329,13.91374,10.34891,12.89076,11.28151,NA,NA,NA
Mali,15.32381,14.4935,14.52521,18.28376,17.73635,16.2803,NA,NA,18.03169,16.95941,16.50391,18.25834,22.40338,16.62345,18.22426,18.15549,13.90388,16.53433,NA,NA
Malta,NA,NA,9.53534,NA,10.55489,NA,NA,14.53679,13.06568,12.34494,15.71921,18.9048,15.26156,18.7752,17.53777,13.15089,NA,NA,NA,NA
Marshall Islands,NA,NA,14.8142,22.50875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,NA,NA,NA,NA,8.17581,NA,10.31008,NA,13.88012,NA,16.03532,13.68275,10.01766,11.40543,NA,NA,9.33061,NA,NA,NA
Mauritius,17.5419,13.23924,12.91514,17.92272,17.3871,17.08813,15.17617,14.18328,14.03944,13.24723,14.57315,13.84617,14.96062,14.78901,20.90518,19.45709,19.9625,19.9341,19.64782,NA
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,19.64613,20.62428,21.46491,22.47187,22.05383,21.90379,20.82432,19.88907,17.38016,18.66512,18.64259,18.42102,18.08719,16.90599,18.80594,19.01875,17.93933,NA,NA,NA
Micronesia (Federated States of),9.96512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.31239,NA,NA,NA,NA
Monaco,6.3279,NA,NA,NA,5.92595,NA,NA,NA,NA,6.59881,6.36322,8.07617,8.87595,7.05922,5.00886,NA,6.59655,6.98063,NA,NA
Mongolia,16.07477,NA,20.31151,NA,13.59445,NA,NA,13.28645,NA,14.51142,14.71114,12.15085,14.40723,15.36745,14.6681,13.54711,13.06311,12.64562,NA,NA
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,NA,NA,NA,NA,NA,NA,NA,NA,17.47064,17.29529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,NA,NA,NA,NA,18.00154,22.71818,18.55004,NA,NA,NA,NA,NA,19.70182,18.97809,NA,NA,19.94601,18.33187,17.88061,NA
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92864,NA,NA,NA,NA,NA,10.0971,10.34903,10.45751
Namibia,21.92506,22.77571,21.83686,20.32821,NA,NA,21.60299,NA,24.86161,NA,26.12351,NA,NA,NA,7.64146,NA,NA,NA,NA,NA
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,19.15604,21.6562,20.44405,21.31265,21.61336,22.29422,25.50064,21.14614,22.23003,19.87293,16.03235,17.98384,17.43708,17.56964,18.28129,16.98966,19.1285,17.09639,14.10187,NA
Netherlands,11.08149,11.15739,11.2315,11.53141,11.87694,12.33591,11.97108,11.76275,11.87849,11.61846,11.66905,11.88771,11.77607,12.09424,12.1508,12.20965,12.80686,NA,NA,NA
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NA,16.7103,16.77153,16.75843,17.00461,16.25796,15.16337,14.98482,14.07769,15.3436,15.68851,15.77792,17.76722,16.55307,16.27686,16.37508,16.82011,NA,NA,NA
Nicaragua,14.5737,NA,15.68779,14.887,NA,NA,NA,NA,NA,NA,22.75367,NA,NA,NA,19.31385,18.6543,17.91958,NA,NA,NA
Niger,18.78317,16.59557,16.65247,13.8455,NA,NA,16.88377,17.37597,16.17733,18.91294,18.10404,21.67581,19.19202,18.08453,21.6615,18.51086,15.34716,13.21516,16.78112,NA
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,NA,NA,8.64088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,15.77262,15.92199,16.25833,15.68493,16.4396,16.54838,15.86487,15.99489,15.85855,15.64057,15.22733,14.95735,17.42965,17.26891,17.04335,15.72807,15.97161,NA,NA,NA
Oman,8.98344,10.58399,11.06248,10.03896,10.31647,10.05364,11.22463,NA,NA,10.94918,NA,NA,NA,11.08018,NA,NA,NA,NA,NA,NA
Pakistan,8.48988,NA,NA,NA,11.22935,13.77751,15.2891,15.44552,14.09696,12.08263,11.86466,10.92461,11.04063,11.51398,11.30066,13.18728,15.06348,14.54478,NA,NA
Palau,13.96441,15.30785,15.53766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
