Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,73.9475,NA,NA,NA,62.45674,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.72099,47.19496,46.24563,NA,43.30112,45.48871,47.16819,NA,NA,NA
Luxembourg,NA,57.75351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.97392,62.72421,66.4397,67.71208,NA,NA,NA,NA
Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,45.6819,NA,NA,NA,NA,52.33329,NA,NA,NA,NA,NA,NA
Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,39.52509,32.78673,32.40541,36.79562,48.01079,NA,NA,63.26484,NA,67.50918,NA,NA,50.85596,47.09585,48.43953,47.54123,47.34188,52.0477,52.09241,NA
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.24403,62.25023,58.09417,51.96379,56.44667,54.31503,46.12028,NA,NA,NA,NA
Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.77892,43.03184,41.81694,50.04273,NA,NA,50.32751,45.1317,46.77086,NA,NA
Malta,NA,NA,56.58993,NA,53.02332,NA,NA,44.30376,53.00353,46.644,45.76654,24.72213,60.86948,67.96351,70.14027,57.36929,NA,NA,NA,NA
Marshall Islands,NA,NA,58.15045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,75.80174,75.45461,75.37556,77.328,73.90542,74.73575,73.40731,73.04358,73.04459,75.26815,74.722,73.78466,72.30299,71.28506,72.5133,69.75982,NA,NA,NA
Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.19024,NA,NA,NA,NA,NA,NA,NA
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,31.44265,37.91024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.78991,NA
Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.99468,52.99468,NA,NA,NA,NA,NA,NA
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.07001,NA,NA,NA,NA,NA,53.57682,NA,45.78531
Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.10119,NA,NA,NA,NA,NA
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.95105,56.35346,58.47952,61.36378,58.70294,57.79485,NA,NA,NA,NA
Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.07216,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.56528,NA,NA,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.98545,NA,NA,NA,NA,NA,NA,NA,NA
Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.57122,NA,NA,46.82584,NA,NA,NA
Pakistan,NA,NA,NA,NA,NA,46.15316,56.76337,55.54458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.92875,NA,NA,NA,NA,NA,NA
Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,59.54832,NA,71.75657,72.25687,76.14466,NA,NA,62.10712,NA,NA,52.49957,51.88909,60.88907,NA,NA,NA,55.32315,NA,NA,NA
Peru,73.70188,74.18447,NA,NA,NA,NA,NA,46.83365,54.65979,50.23626,49.17989,49.44035,45.39358,42.69518,39.53409,37.42892,39.16811,41.69623,47.30284,NA
Philippines,NA,NA,NA,79.85538,NA,NA,NA,NA,62.34744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.62995,62.95873,75.11723,NA,NA,NA,NA,NA
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52212,27.71885,NA,NA,NA,NA,NA
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,34.98047,41.67371,41.88607,44.76097,42.96578,41.2534,32.93525,NA,NA,NA,NA,NA
Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.15034,55.57528,57.3134,NA,67.34697,62.47559,68.30523,NA,NA,NA
Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.98936,NA,NA,NA,NA,NA,NA
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8599,42.15018,NA,NA,NA
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.65318,NA,NA,NA
Saint Lucia,NA,NA,NA,NA,NA,NA,41.24382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.59441,NA
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,60.6179,NA,45.15293,NA,NA,46.69245,NA,NA,NA,73.87514,89.50832,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint-Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint-Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.86136,NA,NA,NA,NA,NA,NA,69.50268,NA,NA
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
