Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Latvia,419.77138,455.49678,535.43653,595.32699,697.83009,NA,1010.48644,1438.83724,1924.1017,1458.58356,1207.10819,1393.3974,1854.34315,2113.42094,1655.40914,1439.59831,1307.10655,NA,NA,NA
Lebanon,NA,501.51376,488.90019,NA,558.82061,568.86103,612.17944,641.43184,586.68624,625.05489,620.21957,659.80199,945.93294,1141.04531,NA,NA,NA,NA,NA,NA
Lesotho,92.11278,83.09562,83.40012,102.55486,128.62374,182.55233,189.62243,NA,207.38455,NA,NA,NA,NA,NA,NA,NA,NA,172.43841,167.88796,NA
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,23.36374,NA,NA,NA,42.61528,47.2,69.9,NA,NA,90.51,84.9,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,NA,75.54342,84.056,NA,82.15715,88.39957,104.08667,NA,NA,146.71607,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,NA,715.5919,827.0785,960.53118,1170.81043,1273.14956,1456.57926,1824.20177,2313.35215,2088.21817,1967.02757,2226.13387,2042.49905,2141.15958,2177.50043,1750.85378,1722.57576,NA,NA,NA
Luxembourg,NA,756.40519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2318.35908,NA,2649.37266,2262.54133,NA,NA,NA,NA
Madagascar,112.89282,147.22636,119.43856,166.38261,142.45172,193.92062,181.0604,247.44744,273.95657,271.68903,NA,275.12774,271.02552,220.75969,298.20055,250.25287,318.39514,NA,391.4274,NA
Malawi,93.19975,78.6144,NA,112.41149,NA,NA,NA,NA,NA,NA,219.15382,289.0079,NA,326.51294,267.10493,339.20153,302.63626,219.02354,297.19043,NA
Malaysia,5600.75482,6944.39128,7722.68175,8268.34688,7390.02275,NA,7297.94034,8462.96047,9136.81787,12083.2409,12665.27401,17170.78904,18045.99561,17719.48204,17621.94915,14750.93764,14315.43216,14919.34833,16068.88366,NA
Maldives,NA,NA,51.95477,56.01562,57.18984,58.36406,73.17188,82.54297,101.54922,135.43906,106.56738,97.28537,108.53107,125.21431,128.31513,179.44025,179.53189,NA,NA,NA
Mali,87.78382,92.1234,112.65645,178.99645,210.11445,219.96124,NA,NA,333.5059,394.29141,357.0854,487.22823,432.94426,434.85305,523.36355,497.98018,433.78,580.88689,NA,NA
Malta,NA,NA,185.2127,NA,270.44596,NA,NA,471.36114,500.0824,440.93972,564.22593,740.79282,600.42259,799.41676,813.24817,556.98386,NA,NA,NA,NA
Marshall Islands,NA,NA,10.81437,15.53104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,NA,36.78679,40.46626,48.50982,46.1455,NA,76.76519,NA,143.19281,NA,156.34628,157.68467,145.20907,165.66358,NA,NA,124.39543,NA,NA,NA
Mauritius,163.71924,145.25555,141.21864,213.78413,250.87182,268.29827,239.92243,223.89547,249.64472,304.43752,355.27735,383.8013,398.85857,438.58261,629.53928,571.36296,586.20463,614.45224,641.03546,NA
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,28262.75789,32092.21751,34397.00507,36996.16728,36974.23651,42519.7987,45842.45108,49376.87632,53502.22454,46693.8443,54574.32703,60271.64684,61292.85176,59848.43559,69154.23482,61281.90945,52919.54655,NA,NA,NA
Micronesia (Federated States of),15.64524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.26981,NA,NA,NA,NA
Monaco,33.24055,NA,NA,NA,51.12476,NA,NA,NA,NA,73.84755,70.64487,96.67072,102.22807,87.44823,72.15233,NA,88.6813,93.53138,NA,NA
Mongolia,63.10199,NA,100.7025,NA,86.17145,NA,NA,198.62691,NA,235.83207,333.95895,479.79079,638.63535,621.65356,576.46207,490.78061,579.54054,467.1527,NA,NA
